description,priority,category
Water tap is leaking in the Classroom 101,Medium,Plumbing
Need extra Tube light for Reception,Low,Safety
Water cooler needs repair in Washroom,Medium,Furniture
Malfunctioning Window pane at Staff Room,Medium,IT/AV
Please clean the Tube light in Parking Lot,Low,IT/AV
Signage is flickering in Garden Area,Low,Electrical
Emergency: Gas leak at Server Room,High,Electrical
Immediate attention required: Gas leak - Main Auditorium,High,Furniture
Critical Short circuit in the Main Auditorium,High,Furniture
Minor Signage issue at Study Area,Low,Furniture
The Chairs is slightly loose at Reception,Low,Electrical
The Ceiling fan is not working properly at Placement Cell,Medium,Safety
Emergency: Short circuit at Lab 402,High,Plumbing
Immediate attention required: Live sparking wires - Main Auditorium,High,Safety
Need extra Door handle for Reception,Low,Safety
The Water tap is not working properly at Placement Cell,Medium,Safety
The Door lock is not working properly at Seminar Hall,Medium,HVAC
Curtains is flickering in Waiting Lounge,Low,IT/AV
The Laboratory equipment is not working properly at Gymkhana,Medium,Furniture
Minor Curtains issue at Reception,Low,Electrical
Notice board is flickering in Parking Lot,Low,Furniture
Window pane needs repair in Library,Medium,Safety
Immediate attention required: Gas leak - Server Room,High,IT/AV
Requesting Tube light in Reception,Low,Safety
Need extra Whiteboard marker for Corridor,Low,Electrical
Broken Ceiling fan in Staff Room,Medium,Electrical
Door lock needs repair in Washroom,Medium,Furniture
The Dustbins is slightly loose at Corridor,Low,IT/AV
Immediate attention required: Stuck elevator - Server Room,High,Plumbing
Window pane is leaking in the Classroom 101,Medium,Furniture
The Notice board is slightly loose at Corridor,Low,IT/AV
Live sparking wires is causing a hazard in Hostel Block A,High,Plumbing
Emergency: Severe flooding at Server Room,High,Electrical
Need extra Dustbins for Reception,Low,IT/AV
Notice board is flickering in Parking Lot,Low,Plumbing
Immediate attention required: Short circuit - Lab 402,High,IT/AV
Severe flooding is causing a hazard in Main Auditorium,High,HVAC
Immediate attention required: Short circuit - Hostel Block A,High,HVAC
The Chairs is slightly loose at Corridor,Low,IT/AV
Critical Gas leak in the Chemistry Wing,High,Furniture
Minor Dustbins issue at Corridor,Low,Safety
The Dustbins is slightly loose at Study Area,Low,HVAC
Minor Curtains issue at Corridor,Low,Safety
Dangerous Structural collapse near Chemistry Wing,High,Electrical
Please clean the Curtains in Corridor,Low,IT/AV
Please clean the Curtains in Garden Area,Low,IT/AV
Ceiling fan needs repair in Placement Cell,Medium,HVAC
Please clean the Notice board in Reception,Low,Electrical
Dangerous Stuck elevator near Exam Hall,High,IT/AV
The Door handle is slightly loose at Waiting Lounge,Low,IT/AV
Requesting Dustbins in Reception,Low,Safety
Projector is damaged in Library,Medium,Electrical
Ceiling fan is leaking in the Washroom,Medium,IT/AV
Signage is flickering in Parking Lot,Low,IT/AV
Critical Live sparking wires in the Main Auditorium,High,Furniture
Need extra Curtains for Reception,Low,HVAC
Minor Notice board issue at Reception,Low,IT/AV
Requesting Chairs in Study Area,Low,IT/AV
Structural collapse detected at Canteen - SOS,High,HVAC
Broken Ceiling fan in Gymkhana,Medium,IT/AV
Door handle is flickering in Corridor,Low,Furniture
Dangerous Live sparking wires near Lab 402,High,Electrical
Water tap needs repair in Classroom 101,Medium,IT/AV
Emergency: Broken chemical bottle at Lab 402,High,HVAC
Broken Door lock in Gymkhana,Medium,Furniture
Need extra Curtains for Study Area,Low,Plumbing
Dangerous Broken chemical bottle near Hostel Block A,High,Safety
Air conditioner needs repair in Library,Medium,HVAC
Need extra Chairs for Study Area,Low,IT/AV
Minor Tube light issue at Waiting Lounge,Low,HVAC
Critical Stuck elevator in the Server Room,High,IT/AV
Dangerous Stuck elevator near Lab 402,High,Electrical
Critical Broken chemical bottle in the Exam Hall,High,Electrical
Whiteboard marker is flickering in Parking Lot,Low,HVAC
Need extra Whiteboard marker for Waiting Lounge,Low,HVAC
Requesting Chairs in Reception,Low,HVAC
The Air conditioner is not working properly at Seminar Hall,Medium,Safety
Water tap needs repair in Seminar Hall,Medium,Plumbing
Water tap needs repair in Seminar Hall,Medium,Furniture
Short circuit is causing a hazard in Canteen,High,Plumbing
Short circuit detected at Exam Hall - SOS,High,IT/AV
Water cooler is damaged in Library,Medium,Electrical
Need extra Tube light for Garden Area,Low,Plumbing
